id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-229,Language Sciences(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Language Sciences(1a) 1 1 (1) FL-229 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22F,Language Sciences(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,養 Language Sciences(1b) 1 1 (1) FL-22F 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22G,）,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,） Language Sciences(2a) 1 1 (1) FL-22G 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22H,Language Sciences(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Language Sciences(2b) 1 1 (1) FL-22H 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22J,Global Society(1a),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Society(1a) 1 1 (1) FL-22J 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22K,Global Society(1b),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Society(1b) 1 1 (1) FL-22K 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22L,Global Society(2a),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Society(2a) 1 1 (1) FL-22L 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-22M,Global Society(2b),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Society(2b) 1 1 (1) FL-22M 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-931,海外・特別選抜セミナー,2,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,海外・特別選抜セミナー 2 2 (2) FL-931 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-932,外国語特別講義(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,外国語特別講義(1a) 1 1 (1) FL-932 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-934,外国語特別講義(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,外国語特別講義(2a) 1 1 (1) FL-934 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-935,外国語特別講義(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,外国語特別講義(2b) 1 1 (1) FL-935 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-241,ドイツ語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ドイツ語(1a) 1 1 (1) FL-241 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-242,以,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,以 ドイツ語(1b) 1 1 (1) FL-242 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-243,の,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,の ドイツ語(2a) 1 1 (1) FL-243 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-244,ドイツ語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ドイツ語(2b) 1 1 (1) FL-244 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-245,フランス語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,語 フランス語(1a) 1 1 (1) FL-245 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
