id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-24T,日本語表現(a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,日本語表現(a) 1 1 (1) FL-24T 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24U,日本語表現(b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,日本語表現(b) 1 1 (1) FL-24U 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
PE-111,体育(1a),0.5,△,学科専門科目,専門科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,基礎体育(1a) △ 0.5 1 PE-111 20 0 0 60 20,pdftotext_line,,department=情報システム学科; source_page=81
PE-112,体育(1b),0.5,△,学科専門科目,専門科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,基礎体育(1b) △ 0.5 1 PE-112 20 0 0 60 20,pdftotext_line,,department=情報システム学科; source_page=81
PE-113,育,0.5,△,学科専門科目,専門科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,育 基礎体育(2a) △ 0.5 1 PE-113 20 0 0 60 20,pdftotext_line,,department=情報システム学科; source_page=81
PE-114,体育(2b),0.5,△,学科専門科目,専門科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科 基礎体育(2b) △ 0.5 1 PE-114 20 0 0 60 20,pdftotext_line,,department=情報システム学科; source_page=81
PE-211,応用体育(1),1,,学科専門科目,専門科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,応用体育(1) 1 2 (2) PE-211 20 0 0 60 20 集中講義あり,pdftotext_line,,department=情報システム学科; source_page=81
PE-212,応用体育(2),1,,学科専門科目,専門科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,応用体育(2) 1 2 (2) PE-212 20 0 0 60 20 集中講義あり,pdftotext_line,,department=情報システム学科; source_page=81
LA-111,哲学(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,哲学(1) Ｇ 2 2 LA-111 25 30 10 15 20,pdftotext_line,,department=情報システム学科; source_page=81
LA-112,哲学(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,哲学(2) Ｇ 2 2 LA-112 5 50 15 20 10,pdftotext_line,,department=情報システム学科; source_page=81
LA-113,倫理学(1),2,,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,倫理学(1) 2 2 LA-113 30 50 10 0 10 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
LA-114,倫理学(2),2,,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,倫理学(2) 2 2 LA-114 20 50 10 10 10 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
LA-115,倫理学(a),1,,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,礎 倫理学(a) 1 1 LA-115 20 20 10 20 30,pdftotext_line,,department=情報システム学科; source_page=81
LA-116,倫理学(b),1,,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,倫理学(b) 1 1 LA-116 20 20 10 20 30 ９,pdftotext_line,,department=情報システム学科; source_page=81
LA-117,化人類学,2,,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,文化人類学 2 2 LA-117 25 20 15 20 20 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
LA-118,視覚芸術史(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,視覚芸術史(1) Ｇ 2 2 LA-118 30 30 0 0 40 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
LA-119,視覚芸術史(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,人 視覚芸術史(2) Ｇ 2 2 LA-119 30 30 0 0 40 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
