id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-311,Academic Reading,2,△,基礎科目,外国語科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Reading △ 2 (2) (2) (2) 2 FL-311 20 25 20 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-312,Academic Discussion,2,△,基礎科目,外国語科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Discussion △ 2 (2) (2) (2) 2 FL-312 20 25 20 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-313,Academic Presentation,2,△,基礎科目,外国語科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Presentation △ 2 (2) (2) (2) 2 FL-313 20 25 20 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-314,English Test Preparation for Academic Purposes,2,△,基礎科目,外国語科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English Test Preparation for Academic Purposes △ 2 (2) (2) (2) 2 FL-314 20 20 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-315,Academic Research & Writing,2,△,基礎科目,外国語科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Research & Writing △ 2 (2) (2) (2) 2 FL-315 20 25 20 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
DD-111,デ,2,○ ※DS,専門分野,専門基礎科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,専 デ データサイエンス概論 ○ ※DS 2 2 DD-111 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-112,コンピュータ基礎演習,2,○,専門分野,専門基礎科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,コンピュータ基礎演習 ○ 2 2 DD-112 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-113,プログラミング基礎演習,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,礎 科 プログラミング基礎演習 △ 2 2 DD-113 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-114,データサイエンス数学,2,△ ※MS,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,科 学 データサイエンス数学 △ ※MS 2 2 DD-114 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-211,統計学基礎,2,△ ※MS,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,統計学基礎 △ ※MS 2 2 DD-211 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
