id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
LA-955,教養特別講義,2,,共通分野,教養科目,elective,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,そ   教養特別講義                                                         2    2    (2)                                       LA-955   20   20   20   20   20
LA-956,教養特別講義(2),2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教養特別講義(2)                              2      2    (2)                                  LA-956   20     20   20   20   20
LA-957,教養特別講義(3),2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教養特別講義(3)                              2      2    (2)                                  LA-957   20     20   20   20   20
PE-111,基礎体育(1a),0.5,△,共通分野,体育科目,elective-required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,基礎体育(1a)                          △    0.5   1                                          PE-111   20     0     0   60   20
PE-112,基礎体育(1b),0.5,△,共通分野,体育科目,elective-required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,体        基礎体育(1b)                          △    0.5    1                                         PE-112   20     0     0   60   20
PE-113,基礎体育(2a),0.5,△,共通分野,体育科目,elective-required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,育        基礎体育(2a)                          △    0.5         1                                    PE-113   20     0     0   60   20
PE-114,基礎体育(2b),0.5,△,共通分野,体育科目,elective-required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科        基礎体育(2b)                          △    0.5          1                                   PE-114   20     0     0   60   20
PE-211,応用体育(1),1,,共通分野,体育科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,応用体育(1)                                1                 2    (2)                       PE-211   20     0     0   60   20
PE-212,応用体育(2),1,,共通分野,体育科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,応用体育(2)                                1                 2    (2)                       PE-212   20     0     0   60   20
FL-111,English I-A,1,○,共通分野,外国語科目,required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,外     英   English I-A                                          ○         1    2                                              FL-111   20   30   10   10   30
FL-113,English II-A,1,○,共通分野,外国語科目,required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,科     目   English II-A                                         ○         1   (2)       2                                     FL-113   20   30   10   10   30
FL-115,English III-A,1,○,共通分野,外国語科目,required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English III-A                                        ○         1   (2)   (2)      2                                FL-115   20   30   10   10   30
FL-116,English III-B,1,○,共通分野,外国語科目,required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English III-B                                        ○         1   (2)   (2)      2                                FL-116   20   30   10   10   30
FL-117,Reading and Writing(2a),0.5,○,共通分野,外国語科目,required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,外        科   Reading and Writing(2a)           ○    0.5         1                                    FL-117   20     30   10   10   30
FL-118,Reading and Writing(2b),0.5,○,共通分野,外国語科目,required,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Reading and Writing(2b)           ○    0.5          1                                   FL-118   20     30   10   10   30
